default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_2,job,people_under_maintenance,telephone,foreign_worker
0,1,2,1,1,2615,2,2,2,1,1,1,1,48,1,1,1,1,1,1,1
0,3,13,1,1,1146,1,2,1,1,1,1,1,36,1,1,1,1,1,1,1
0,3,36,1,1,2223,1,2,1,1,1,1,1,34,1,1,1,1,1,1,1
0,1,25,1,4,2673,1,2,1,1,1,1,1,49,1,1,1,1,1,1,1
0,3,43,2,1,3671,1,1,2,1,1,1,1,34,1,1,1,1,1,1,1
0,1,27,2,1,3852,2,1,1,1,1,1,1,39,1,1,1,1,1,1,1
0,1,15,2,1,3582,2,1,2,1,1,1,1,25,1,1,1,1,1,1,1
0,1,26,1,4,3053,1,2,2,1,1,1,1,24,1,1,1,1,1,1,1
0,2,22,2,2,1838,2,1,2,1,1,1,1,30,1,1,1,1,1,1,1
0,2,21,2,1,935,2,2,2,1,1,1,1,51,1,1,1,1,1,1,1
0,3,24,2,1,3999,2,1,2,1,1,2,1,31,1,1,1,1,1,1,1
0,1,36,1,2,2028,1,2,1,1,1,1,1,34,1,1,1,1,1,1,1
0,1,45,1,2,3261,2,1,1,1,1,1,1,42,1,1,1,1,1,1,1
0,2,25,1,2,2726,2,2,1,1,1,2,1,30,1,1,1,1,1,1,1
0,1,19,1,3,2295,2,2,1,1,1,1,1,41,1,1,1,1,1,1,1
0,2,24,1,2,3258,1,1,1,1,1,1,1,42,1,1,1,1,1,1,1
0,3,38,1,2,3718,1,1,2,1,1,1,1,32,1,1,1,1,1,1,1
0,3,28,1,1,4748,1,2,1,1,1,2,1,15,1,1,1,1,1,1,1
0,1,22,1,4,3353,1,1,1,1,1,1,1,32,1,1,1,1,1,1,1
0,2,1,1,3,3575,2,1,2,1,1,1,1,42,1,1,1,1,1,1,1
0,2,19,1,1,4818,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1
0,2,22,2,1,3330,2,1,2,1,1,2,1,17,1,1,1,1,1,1,1
0,2,33,2,2,3551,2,2,2,1,1,2,1,37,1,1,1,1,1,1,1
0,3,18,1,3,390,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1
0,3,29,1,4,3044,2,2,1,1,1,1,1,32,1,1,1,1,1,1,1
0,3,35,1,4,1,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1
0,1,9,1,1,3084,1,2,2,1,1,2,1,36,1,1,1,1,1,1,1
0,3,13,1,3,2330,1,1,2,1,1,1,1,24,1,1,1,1,1,1,1
0,2,14,2,1,3573,2,1,2,1,1,2,1,36,1,1,1,1,1,1,1
0,1,39,1,1,4048,2,2,1,1,1,2,1,35,1,1,1,1,1,1,1
0,2,30,1,4,3692,2,1,2,1,1,1,1,20,1,1,1,1,1,1,1
0,3,25,2,4,3186,2,1,2,1,1,1,1,22,1,1,1,1,1,1,1
0,1,23,1,1,2581,1,2,1,1,1,2,1,54,1,1,1,1,1,1,1
0,1,35,1,4,6685,2,2,1,1,1,1,1,36,1,1,1,1,1,1,1
0,3,36,1,4,3038,2,2,2,1,1,1,1,51,1,1,1,1,1,1,1
0,1,21,1,2,2821,1,2,1,1,1,1,1,39,1,1,1,1,1,1,1
0,1,20,1,2,1589,1,2,2,1,1,1,1,44,1,1,1,1,1,1,1
0,1,40,1,1,2354,2,2,2,1,1,1,1,31,1,1,1,1,1,1,1
0,1,23,1,1,4051,1,1,2,1,1,2,1,29,1,1,1,1,1,1,1
0,1,26,1,1,4223,1,1,1,1,1,2,1,25,1,1,1,1,1,1,1
0,1,38,1,1,1616,2,1,1,1,1,2,1,28,1,1,1,1,1,1,1
0,3,17,1,1,3193,1,1,2,1,1,2,1,46,1,1,1,1,1,1,1
0,1,31,2,1,36,1,1,2,1,1,1,1,22,1,1,1,1,1,1,1
0,3,23,1,4,2737,2,1,2,1,1,2,1,44,1,1,1,1,1,1,1
0,2,17,1,1,123,1,1,2,1,1,1,1,29,1,1,1,1,1,1,1
0,2,9,1,1,3179,2,2,1,1,1,1,1,25,1,1,1,1,1,1,1
0,2,30,1,2,3066,2,1,1,1,1,2,1,33,1,1,1,1,1,1,1
0,1,27,2,4,3070,2,2,1,1,1,2,1,44,1,1,1,1,1,1,1
0,2,20,1,1,4328,2,1,1,1,1,2,1,27,1,1,1,1,1,1,1
0,2,19,1,4,538,2,2,1,1,1,2,1,24,1,1,1,1,1,1,1
0,2,23,1,3,4276,2,1,2,1,1,2,1,39,1,1,1,1,1,1,1
0,1,8,1,1,2782,2,1,1,1,1,1,1,21,1,1,1,1,1,1,1
0,2,21,1,2,3880,1,1,2,1,1,2,1,39,1,1,1,1,1,1,1
0,3,32,2,1,1608,2,2,2,1,1,1,1,32,1,1,1,1,1,1,1
0,1,31,2,4,3955,2,1,2,1,1,1,1,35,1,1,1,1,1,1,1
0,2,21,1,1,1530,1,1,2,1,1,1,1,17,1,1,1,1,1,1,1
0,3,26,1,3,2922,1,2,2,1,1,2,1,18,1,1,1,1,1,1,1
0,1,15,1,2,5287,2,1,2,1,1,1,1,27,1,1,1,1,1,1,1
0,3,20,1,4,1046,2,1,2,1,1,1,1,36,1,1,1,1,1,1,1
0,1,14,2,3,3745,1,1,2,1,1,2,1,50,1,1,1,1,1,1,1
0,2,35,1,2,1496,2,1,1,1,1,1,1,33,1,1,1,1,1,1,1
0,3,12,1,1,2909,2,1,1,1,1,2,1,47,1,1,1,1,1,1,1
0,3,24,1,1,1240,2,2,2,1,1,1,1,29,1,1,1,1,1,1,1
0,2,38,2,3,1539,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1
0,1,30,1,1,4122,1,1,2,1,1,2,1,35,1,1,1,1,1,1,1
0,2,20,1,1,2855,2,1,2,1,1,2,1,34,1,1,1,1,1,1,1
0,2,36,1,3,2436,2,1,1,1,1,1,1,27,1,1,1,1,1,1,1
0,1,15,2,3,1177,1,2,1,1,1,1,1,28,1,1,1,1,1,1,1
0,3,10,2,4,3824,1,2,1,1,1,2,1,42,1,1,1,1,1,1,1
0,3,26,1,2,3213,1,2,2,1,1,2,1,29,1,1,1,1,1,1,1
0,3,35,2,1,2942,1,1,2,1,1,1,1,30,1,1,1,1,1,1,1
0,3,51,1,2,1743,1,2,2,1,1,2,1,49,1,1,1,1,1,1,1
0,2,23,1,1,839,1,2,1,1,1,2,1,28,1,1,1,1,1,1,1
0,3,23,1,1,2662,1,1,1,1,1,1,1,46,1,1,1,1,1,1,1
0,3,34,1,4,2076,2,1,1,1,1,1,1,28,1,1,1,1,1,1,1
0,3,34,2,2,1,1,2,2,1,1,1,1,21,1,1,1,1,1,1,1
0,3,39,1,3,4639,1,1,1,1,1,1,1,41,1,1,1,1,1,1,1
0,3,34,2,1,3083,1,2,2,1,1,1,1,26,1,1,1,1,1,1,1
0,1,42,2,4,573,2,2,2,1,1,2,1,39,1,1,1,1,1,1,1
0,2,19,1,4,4739,1,2,2,1,1,2,1,45,1,1,1,1,1,1,1
0,3,15,1,4,2448,2,2,1,1,1,2,1,23,1,1,1,1,1,1,1
0,3,21,1,3,1057,1,1,2,1,1,2,1,58,1,1,1,1,1,1,1
0,2,19,2,1,2092,1,1,2,1,1,2,1,29,1,1,1,1,1,1,1
0,3,17,1,1,3045,2,1,1,1,1,2,1,23,1,1,1,1,1,1,1
0,2,27,1,3,3451,2,1,2,1,1,2,1,56,1,1,1,1,1,1,1
0,1,10,2,2,1402,1,2,2,1,1,2,1,41,1,1,1,1,1,1,1
0,3,27,1,2,3866,1,2,2,1,1,2,1,39,1,1,1,1,1,1,1
0,3,30,1,3,2293,1,2,2,1,1,1,1,34,1,1,1,1,1,1,1
0,1,29,1,4,1944,1,2,1,1,1,2,1,36,1,1,1,1,1,1,1
0,3,20,2,3,2537,2,2,2,1,1,2,1,31,1,1,1,1,1,1,1
0,1,24,1,1,2388,2,2,2,1,1,1,1,33,1,1,1,1,1,1,1
0,1,21,2,1,3903,1,1,2,1,1,2,1,37,1,1,1,1,1,1,1
0,3,25,2,1,4538,1,2,1,1,1,2,1,41,1,1,1,1,1,1,1
0,1,23,1,1,3806,1,2,1,1,1,1,1,27,1,1,1,1,1,1,1
0,3,31,1,1,3728,1,1,2,1,1,1,1,37,1,1,1,1,1,1,1
0,3,20,1,4,3170,2,1,2,1,1,1,1,34,1,1,1,1,1,1,1
0,3,48,1,2,2055,2,2,2,1,1,1,1,42,1,1,1,1,1,1,1
0,1,52,1,2,3509,1,1,1,1,1,1,1,36,1,1,1,1,1,1,1
0,1,30,1,3,5583,1,2,1,1,1,1,1,27,1,1,1,1,1,1,1
0,1,1,1,1,3691,1,1,2,1,1,2,1,52,1,1,1,1,1,1,1
0,2,35,2,2,4225,1,1,2,1,1,2,1,32,1,1,1,1,1,1,1
0,3,38,1,1,3823,2,1,1,1,1,2,1,46,1,1,1,1,1,1,1
0,1,6,1,3,3125,2,1,2,1,1,2,1,40,1,1,1,1,1,1,1
0,2,27,1,4,5515,1,1,1,1,1,2,1,52,1,1,1,1,1,1,1
0,3,9,1,2,6267,1,1,1,1,1,2,1,38,1,1,1,1,1,1,1
0,3,33,1,1,224,2,1,1,1,1,1,1,28,1,1,1,1,1,1,1
0,3,19,2,4,3673,1,1,2,1,1,2,1,28,1,1,1,1,1,1,1
0,2,23,1,1,3326,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1
0,1,3,2,1,4317,2,2,1,1,1,1,1,15,1,1,1,1,1,1,1
0,1,32,1,1,3397,1,2,2,1,1,2,1,42,1,1,1,1,1,1,1
0,1,11,2,4,2400,1,2,2,1,1,1,1,11,1,1,1,1,1,1,1
0,1,24,2,2,3279,2,1,1,1,1,1,1,22,1,1,1,1,1,1,1
0,3,32,2,2,232,2,2,1,1,1,1,1,48,1,1,1,1,1,1,1
0,3,22,1,1,3010,1,1,1,1,1,2,1,31,1,1,1,1,1,1,1
0,1,17,1,4,1643,1,1,1,1,1,2,1,32,1,1,1,1,1,1,1
0,1,26,2,2,977,1,1,1,1,1,1,1,31,1,1,1,1,1,1,1
0,1,27,1,3,4117,1,1,1,1,1,2,1,43,1,1,1,1,1,1,1
0,2,5,2,1,365,1,2,2,1,1,2,1,48,1,1,1,1,1,1,1
0,3,16,2,2,1294,1,1,1,1,1,1,1,22,1,1,1,1,1,1,1
0,1,38,1,3,4353,2,1,1,1,1,2,1,37,1,1,1,1,1,1,1
0,1,21,2,1,1071,1,2,2,1,1,1,1,30,1,1,1,1,1,1,1
0,2,8,2,1,3465,1,1,2,1,1,2,1,38,1,1,1,1,1,1,1
0,1,26,1,1,1662,2,2,1,1,1,2,1,38,1,1,1,1,1,1,1
0,3,30,1,3,3121,1,1,1,1,1,1,1,31,1,1,1,1,1,1,1
0,2,42,2,1,2143,1,1,2,1,1,1,1,20,1,1,1,1,1,1,1
0,2,18,1,3,2903,2,1,2,1,1,1,1,24,1,1,1,1,1,1,1
0,2,21,1,1,2581,1,1,1,1,1,2,1,25,1,1,1,1,1,1,1
0,1,24,1,2,1648,1,1,2,1,1,1,1,23,1,1,1,1,1,1,1
0,1,24,1,1,6152,1,2,2,1,1,2,1,47,1,1,1,1,1,1,1
0,1,32,1,3,2069,2,1,1,1,1,2,1,24,1,1,1,1,1,1,1
0,2,22,2,4,3234,2,2,2,1,1,2,1,27,1,1,1,1,1,1,1
0,2,37,2,4,2101,1,2,1,1,1,2,1,23,1,1,1,1,1,1,1
0,3,25,2,3,4058,2,2,1,1,1,1,1,36,1,1,1,1,1,1,1
0,2,36,2,1,5228,1,2,1,1,1,1,1,35,1,1,1,1,1,1,1
0,1,14,2,3,3025,2,2,1,1,1,1,1,26,1,1,1,1,1,1,1
0,1,7,2,2,2614,1,2,2,1,1,1,1,37,1,1,1,1,1,1,1
0,2,45,1,1,3247,1,1,1,1,1,2,1,56,1,1,1,1,1,1,1
0,3,32,1,3,3760,2,2,1,1,1,1,1,42,1,1,1,1,1,1,1
0,2,31,1,2,2921,2,1,2,1,1,1,1,44,1,1,1,1,1,1,1
0,2,1,2,4,5759,2,1,2,1,1,2,1,29,1,1,1,1,1,1,1
0,2,27,1,3,1483,2,1,1,1,1,1,1,38,1,1,1,1,1,1,1
0,1,16,1,1,3332,2,2,1,1,1,1,1,49,1,1,1,1,1,1,1
0,1,12,1,3,3504,1,1,2,1,1,1,1,39,1,1,1,1,1,1,1
0,1,15,1,4,3728,2,1,1,1,1,2,1,27,1,1,1,1,1,1,1
0,2,32,1,2,2334,2,2,2,1,1,1,1,32,1,1,1,1,1,1,1
0,3,25,1,3,2515,2,2,2,1,1,1,1,39,1,1,1,1,1,1,1
0,2,42,1,3,3292,2,2,2,1,1,1,1,43,1,1,1,1,1,1,1
0,2,38,1,1,1144,1,1,2,1,1,2,1,19,1,1,1,1,1,1,1
0,1,28,1,3,1323,1,2,2,1,1,2,1,28,1,1,1,1,1,1,1
0,1,9,1,1,2585,2,2,2,1,1,1,1,32,1,1,1,1,1,1,1
0,2,19,2,3,3516,2,2,2,1,1,1,1,40,1,1,1,1,1,1,1
0,3,14,2,2,2771,1,1,2,1,1,2,1,45,1,1,1,1,1,1,1
0,1,9,1,1,2889,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1
0,3,37,1,1,1806,1,2,1,1,1,1,1,38,1,1,1,1,1,1,1
0,3,31,1,2,1517,1,2,2,1,1,2,1,44,1,1,1,1,1,1,1
0,2,1,2,1,3206,1,1,1,1,1,1,1,32,1,1,1,1,1,1,1
0,2,10,2,3,4438,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1
0,2,22,1,3,4612,2,2,1,1,1,1,1,27,1,1,1,1,1,1,1
0,3,10,1,3,1550,2,1,2,1,1,1,1,41,1,1,1,1,1,1,1
0,1,21,2,4,4585,2,1,1,1,1,2,1,46,1,1,1,1,1,1,1
0,1,25,1,4,4527,1,2,2,1,1,1,1,54,1,1,1,1,1,1,1
0,2,42,2,4,4378,2,2,1,1,1,1,1,44,1,1,1,1,1,1,1
0,1,41,1,1,1226,2,1,2,1,1,2,1,37,1,1,1,1,1,1,1
0,3,35,2,4,750,2,1,2,1,1,1,1,25,1,1,1,1,1,1,1
0,3,11,2,3,4918,1,2,2,1,1,2,1,27,1,1,1,1,1,1,1
0,1,33,1,3,682,1,2,1,1,1,1,1,23,1,1,1,1,1,1,1
0,3,15,1,1,1579,1,1,2,1,1,1,1,25,1,1,1,1,1,1,1
0,3,7,1,2,5662,2,2,1,1,1,1,1,32,1,1,1,1,1,1,1
0,3,32,2,2,4014,1,2,1,1,1,2,1,18,1,1,1,1,1,1,1
0,2,26,1,1,4335,2,1,2,1,1,1,1,31,1,1,1,1,1,1,1
0,2,31,2,2,6304,2,2,2,1,1,2,1,32,1,1,1,1,1,1,1
0,1,22,2,1,2543,2,2,2,1,1,1,1,52,1,1,1,1,1,1,1
0,1,9,2,1,5063,1,2,1,1,1,1,1,48,1,1,1,1,1,1,1
0,1,43,1,3,3011,1,1,1,1,1,1,1,30,1,1,1,1,1,1,1
0,3,6,1,3,6434,2,2,1,1,1,2,1,56,1,1,1,1,1,1,1
0,3,35,2,1,1,2,2,2,1,1,1,1,37,1,1,1,1,1,1,1
0,2,36,2,4,3911,2,2,2,1,1,2,1,52,1,1,1,1,1,1,1
0,2,37,2,1,834,2,2,2,1,1,1,1,40,1,1,1,1,1,1,1
0,1,20,1,3,4015,1,2,1,1,1,2,1,32,1,1,1,1,1,1,1
0,1,36,2,3,410,1,2,2,1,1,1,1,27,1,1,1,1,1,1,1
0,3,31,1,1,2506,2,2,1,1,1,1,1,29,1,1,1,1,1,1,1
0,2,23,1,1,2521,1,2,2,1,1,2,1,28,1,1,1,1,1,1,1
0,2,12,1,4,562,2,1,1,1,1,1,1,35,1,1,1,1,1,1,1
0,3,32,1,1,236,1,2,2,1,1,2,1,20,1,1,1,1,1,1,1
0,1,29,1,1,2054,2,2,2,1,1,1,1,28,1,1,1,1,1,1,1
0,2,24,1,2,2405,2,2,1,1,1,1,1,35,1,1,1,1,1,1,1
0,2,20,1,1,2566,2,2,2,1,1,2,1,23,1,1,1,1,1,1,1
0,2,18,1,2,404,2,2,2,1,1,2,1,44,1,1,1,1,1,1,1
0,2,25,2,1,2706,1,2,1,1,1,1,1,33,1,1,1,1,1,1,1
0,2,22,1,2,5644,1,1,1,1,1,2,1,34,1,1,1,1,1,1,1
0,3,29,1,3,2217,2,1,1,1,1,1,1,35,1,1,1,1,1,1,1
0,3,20,2,2,1451,1,1,1,1,1,2,1,34,1,1,1,1,1,1,1
0,3,21,1,4,4671,2,2,2,1,1,1,1,42,1,1,1,1,1,1,1
0,1,11,1,4,3367,1,1,2,1,1,1,1,25,1,1,1,1,1,1,1
0,2,32,1,1,1058,2,2,2,1,1,1,1,37,1,1,1,1,1,1,1
0,3,6,2,4,1746,1,2,2,1,1,2,1,23,1,1,1,1,1,1,1
0,2,25,1,2,4729,2,1,1,1,1,2,1,32,1,1,1,1,1,1,1
0,2,18,1,3,90,2,2,1,1,1,2,1,20,1,1,1,1,1,1,1
0,2,26,1,1,3594,2,1,2,1,1,2,1,30,1,1,1,1,1,1,1
0,2,27,1,1,2244,2,1,1,1,1,2,1,42,1,1,1,1,1,1,1
0,1,30,1,3,3900,2,1,2,1,1,1,1,28,1,1,1,1,1,1,1
0,3,16,1,1,4020,1,1,2,1,1,2,1,53,1,1,1,1,1,1,1
0,3,9,1,1,3599,1,1,2,1,1,2,1,32,1,1,1,1,1,1,1
0,1,38,2,1,3046,2,1,2,1,1,2,1,27,1,1,1,1,1,1,1
0,2,21,1,3,5335,2,1,2,1,1,2,1,32,1,1,1,1,1,1,1
0,2,29,2,4,621,1,2,2,1,1,2,1,37,1,1,1,1,1,1,1
0,1,4,1,1,2794,2,2,2,1,1,2,1,45,1,1,1,1,1,1,1
0,1,1,1,4,2005,2,1,1,1,1,2,1,30,1,1,1,1,1,1,1
0,1,29,2,4,1598,2,1,2,1,1,2,1,49,1,1,1,1,1,1,1
0,3,24,2,4,4193,2,2,2,1,1,2,1,37,1,1,1,1,1,1,1
0,2,1,1,3,3225,2,1,1,1,1,2,1,32,1,1,1,1,1,1,1
0,3,12,1,2,3536,1,1,1,1,1,2,1,13,1,1,1,1,1,1,1
0,2,7,2,4,4446,2,2,1,1,1,1,1,26,1,1,1,1,1,1,1
0,3,10,1,2,1857,1,1,1,1,1,1,1,33,1,1,1,1,1,1,1
0,1,23,2,1,4256,2,2,2,1,1,2,1,43,1,1,1,1,1,1,1
0,3,21,2,1,1795,1,2,1,1,1,2,1,11,1,1,1,1,1,1,1
0,1,35,1,4,3320,2,2,1,1,1,1,1,32,1,1,1,1,1,1,1
0,2,38,1,2,5468,1,2,1,1,1,2,1,40,1,1,1,1,1,1,1
0,2,26,1,1,2621,1,1,2,1,1,2,1,44,1,1,1,1,1,1,1
0,2,30,1,3,1629,1,1,2,1,1,1,1,20,1,1,1,1,1,1,1
0,1,12,1,1,4617,2,1,2,1,1,1,1,20,1,1,1,1,1,1,1
0,1,12,1,3,47,1,2,1,1,1,1,1,35,1,1,1,1,1,1,1
0,1,28,2,1,4409,1,2,2,1,1,2,1,34,1,1,1,1,1,1,1
0,1,29,1,1,3694,1,2,2,1,1,2,1,23,1,1,1,1,1,1,1
0,1,33,1,2,1,1,2,1,1,1,1,1,41,1,1,1,1,1,1,1
0,1,13,2,3,2904,1,1,1,1,1,2,1,41,1,1,1,1,1,1,1
0,2,3,1,3,3496,1,1,1,1,1,2,1,34,1,1,1,1,1,1,1
0,1,36,2,1,2420,2,1,1,1,1,2,1,37,1,1,1,1,1,1,1
0,3,15,1,1,1965,1,1,1,1,1,2,1,39,1,1,1,1,1,1,1
0,3,24,1,1,5416,1,2,1,1,1,2,1,45,1,1,1,1,1,1,1
0,2,23,1,2,6128,2,2,1,1,1,1,1,33,1,1,1,1,1,1,1
0,2,24,1,1,3349,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1
0,2,27,1,1,4310,2,2,2,1,1,1,1,32,1,1,1,1,1,1,1
0,3,31,2,4,497,1,1,2,1,1,1,1,26,1,1,1,1,1,1,1
0,2,33,1,2,5919,2,2,1,1,1,1,1,20,1,1,1,1,1,1,1
0,2,19,1,1,2796,1,2,1,1,1,1,1,38,1,1,1,1,1,1,1
0,1,31,2,4,2927,1,2,2,1,1,1,1,41,1,1,1,1,1,1,1
0,2,33,1,3,5003,2,2,1,1,1,1,1,36,1,1,1,1,1,1,1
0,3,9,1,4,5374,1,2,1,1,1,1,1,29,1,1,1,1,1,1,1
0,2,33,1,1,3742,1,1,1,1,1,2,1,42,1,1,1,1,1,1,1
0,2,6,2,1,4568,2,2,1,1,1,1,1,23,1,1,1,1,1,1,1
0,1,26,2,2,1436,1,2,2,1,1,2,1,33,1,1,1,1,1,1,1
0,1,24,1,3,1086,1,1,1,1,1,2,1,28,1,1,1,1,1,1,1
0,2,12,1,1,543,1,1,2,1,1,1,1,51,1,1,1,1,1,1,1
0,2,18,2,2,1965,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1
0,3,11,1,3,1212,1,2,2,1,1,1,1,48,1,1,1,1,1,1,1
0,2,36,2,3,2861,2,2,2,1,1,1,1,33,1,1,1,1,1,1,1
0,3,14,2,1,3300,2,1,1,1,1,2,1,31,1,1,1,1,1,1,1
0,3,6,2,4,3738,2,1,2,1,1,1,1,40,1,1,1,1,1,1,1
0,2,17,1,1,743,2,2,2,1,1,2,1,44,1,1,1,1,1,1,1
0,3,22,1,4,2721,2,2,2,1,1,1,1,49,1,1,1,1,1,1,1
0,3,16,2,1,470,2,2,2,1,1,1,1,46,1,1,1,1,1,1,1
0,1,12,1,1,2264,2,2,2,1,1,2,1,51,1,1,1,1,1,1,1
0,2,20,2,1,3911,1,2,1,1,1,1,1,47,1,1,1,1,1,1,1
0,2,16,1,3,5879,2,1,1,1,1,2,1,41,1,1,1,1,1,1,1
0,2,21,1,2,1089,2,1,2,1,1,2,1,57,1,1,1,1,1,1,1
0,3,27,2,3,3649,1,1,2,1,1,2,1,28,1,1,1,1,1,1,1
0,2,32,1,4,3062,2,2,2,1,1,2,1,48,1,1,1,1,1,1,1
0,2,11,1,1,4712,2,2,1,1,1,2,1,10,1,1,1,1,1,1,1
0,2,46,1,1,4287,1,2,1,1,1,2,1,28,1,1,1,1,1,1,1
0,3,10,1,3,2876,1,2,1,1,1,2,1,28,1,1,1,1,1,1,1
0,1,31,1,1,3672,2,2,2,1,1,2,1,24,1,1,1,1,1,1,1
0,2,13,2,2,2400,2,1,2,1,1,1,1,33,1,1,1,1,1,1,1
0,1,25,2,1,2809,1,1,1,1,1,2,1,31,1,1,1,1,1,1,1
0,2,24,1,3,2149,1,2,1,1,1,2,1,26,1,1,1,1,1,1,1
0,2,9,1,1,1978,1,2,2,1,1,1,1,32,1,1,1,1,1,1,1
0,3,10,1,4,3856,1,1,1,1,1,2,1,27,1,1,1,1,1,1,1
0,1,18,1,2,1935,1,1,1,1,1,2,1,27,1,1,1,1,1,1,1
0,3,39,1,2,6035,1,2,1,1,1,2,1,28,1,1,1,1,1,1,1
0,1,29,1,2,3649,1,1,2,1,1,2,1,22,1,1,1,1,1,1,1
0,3,37,2,4,2186,1,2,1,1,1,2,1,39,1,1,1,1,1,1,1
0,1,42,1,3,3968,1,2,1,1,1,1,1,28,1,1,1,1,1,1,1
0,3,29,1,3,4799,2,1,2,1,1,2,1,26,1,1,1,1,1,1,1
0,1,14,2,3,1496,2,2,1,1,1,1,1,31,1,1,1,1,1,1,1
0,1,24,1,3,2452,1,2,2,1,1,2,1,22,1,1,1,1,1,1,1
0,1,26,1,3,2875,2,2,2,1,1,1,1,38,1,1,1,1,1,1,1
0,1,34,1,1,4291,1,1,2,1,1,2,1,52,1,1,1,1,1,1,1
0,2,18,1,4,2794,1,1,2,1,1,1,1,27,1,1,1,1,1,1,1
0,3,21,1,2,411,1,2,1,1,1,1,1,28,1,1,1,1,1,1,1
0,1,35,1,3,1596,2,1,1,1,1,1,1,45,1,1,1,1,1,1,1
0,1,30,2,3,1812,1,2,1,1,1,2,1,32,1,1,1,1,1,1,1
0,2,22,1,2,2600,1,2,2,1,1,1,1,34,1,1,1,1,1,1,1
0,3,15,1,2,4027,2,1,1,1,1,1,1,30,1,1,1,1,1,1,1
